term,description,category,subcategory,lang
Күлкі,Адамның қуанышынан немесе көңілді жағдайдан туындайтын дыбыстық реакция.,Медицина,Тіс емханасы,kk
Жақұт,"Асыл тас, әсемдігімен және қымбаттылығымен ерекшеленеді.",Медицина,Тіс емханасы,kk
Күлімде,"Күлімсіреу, көңілді болу.",Медицина,Тіс емханасы,kk
Нұрдауа,"Бұл атау стоматологияның емдік және сауықтыру қызметін, тіс ауруларын емдеуді білдіреді.",Медицина,Тіс емханасы,kk
Сапалы тіс,"Денсаулыққа пайдалы, күту мен күтімнің нәтижесінде жақсы жағдайдағы тіс.",Медицина,Тіс емханасы,kk
Ақкербез,"Өте таза және әдемі, ерекше әсем және нәзік.",Медицина,Тіс емханасы,kk
Жәрдем,"Көмек, қолдау көрсету, басқаларға қажетті жағдай жасау.",Медицина,Тіс емханасы,kk
Талап,Мақсатқа жету үшін қажетті күш-жігер немесе талап ету.,Медицина,Тіс емханасы,kk
Алтын тіс,"Тістің жоғары құндылығы мен сапасын білдіреді, стоматологияның сапалы емдеу мен күтім қызметін көрсетуге бағытталған.",Медицина,Тіс емханасы,kk
Жарық,"Көру қабілетіне әсер ететін сәуле, күн сәулесі немесе жасанды жарық.",Медицина,Тіс емханасы,kk
Езу,Адамның аузында пайда болатын ұсақ тістер.,Медицина,Тіс емханасы,kk
Күрек тіс,"Адам аузының негізгі тістері, кейде шұңқыр тістері деп те аталады.",Медицина,Тіс емханасы,kk
Тістегір,"Тісі өткір, азулы, батыл, мықты.",Медицина,Тіс емханасы,kk
Алматы,Республикалық мәні бар бальнеологиялық шипажай.,Медицина,Медициналық орталық,kk
Жаңақорған,"Бұл атау жаңару мен қорғаныс мағынасын білдіріп, медициналық орталықтың денсаулықты қалпына келтіру қызметін көрсететінін айқындайды.",Медицина,Медициналық орталық,kk
Зеренді,"Табиғаттың жаңаруы мен тіршіліктің дамуын білдіріп, медициналық орталықтың денсаулықты қалпына келтіру және сауықтыру қызметін көрсету мақсатында таңдалған.",Медицина,Медициналық орталық,kk
Көктем,"Жаңарудың, гүлденудің және тіршіліктің қайта оянуының символы болып табылады. Медициналық орталық үшін бұл атау денсаулықты қалпына келтіру, сауығу және жаңару процестерін білдіреді.",Медицина,Медициналық орталық,kk
Меркі,"Бұл атау жаңару мен дамуды, сондай-ақ жоғары деңгейдегі медициналық қызмет ұсынуды айқындайды.",Медицина,Медициналық орталық,kk
Салауатты,Денсаулықты сақтау мен жақсартуға бағытталған медициналық орталықтың қызметін білдіреді.,Медицина,Медициналық орталық,kk
Тыныс,Тыныс алу жүйесінің саулығын қалпына келтіру және емдеу қызметтерін көрсететін медициналық орталықтың бағытын білдіреді.,Медицина,Медициналық орталық,kk
Сарыағаш,"Түркістан облысы Сарыағаш ауданындағы қала, аудан және Сарыағаш қалалық әкімдігі орталығы, темір жол бекеті.",Медицина,Медициналық орталық,kk
Қарқаралы,"Қарағанды облысындағы қала, Қарқаралы ауданы орталығы.",Медицина,Медициналық орталық,kk
Саф таза,"Бұл атау медициналық орталықтың науқастарға сапалы, қауіпсіз және тиімді емдеу қызметтерін ұсынатынын айқындайды.",Медицина,Медициналық орталық,kk
Ақбұлақ,Ақмола облысы Аршалы ауданындағы ауыл.,Медицина,Медициналық орталық,kk
Саумал,Әлі толық аши қоймаған бие сүті.,Медицина,Медициналық орталық,kk
Шүкір,"Алғыс пен ризашылықты білдіріп, медициналық орталықтың сапалы қызмет көрсету мен денсаулықты қалпына келтіру мақсатында таңдалған.",Медицина,Медициналық орталық,kk
Самал,Жанға жайлы қоңыр салқын жел.,Медицина,Медициналық орталық,kk
Алтын Қарғалы,"Алматы облысы, Жамбыл ауданындағы ауыл.",Медицина,Медициналық орталық,kk
Ақсу демі,"Таза ауа мен табиғаттың тазалығын білдіреді. Бұл атау медициналық орталықтың тыныс алу жүйесін емдеу, сауықтыру және денсаулықты қалпына келтіру қызметіне бағытталғанын көрсетеді.",Медицина,Медициналық орталық,kk
Шипа су,"Емдік қасиеттері бар таза суды білдіреді. Бұл атау медициналық орталықтың сауықтыру, денсаулықты қалпына келтіру және емдік қызметтер ұсыну бағытында екенін көрсетеді.",Медицина,Медициналық орталық,kk
Біркөлік,"Түркістан облысы, Төле би ауданы, Алатау ауылдық округі құрамындағы ауыл.",Медицина,Медициналық орталық,kk
Таң нұры,"Бұл атау медициналық орталықтың пациенттерге жаңа өмір, денсаулықты қалпына келтіру және сауығу қызметтерін ұсынатынын білдіреді.",Медицина,Медициналық орталық,kk
Қайнар,"Өмір мен денсаулықтың бастауы, қуат пен күштің қайнар көзі ретінде таңдалған.",Медицина,Медициналық орталық,kk
Арыс шипажайы,Түркістан облысындағы қала. Жергілікті атқарушы орган – Арыс қаласының әкімдігі.,Медицина,Медициналық орталық,kk
Балдәурен,Орталық Бурабай курорты аймағында Щучье көлінің жағасында орналасқан демалыс орны.,Медицина,Медициналық орталық,kk
Мойылды,Павлодар қаласының орталығынан 9 шақырым жерде орналасқан демалыс орны.,Медицина,Медициналық орталық,kk
Шағала,"Еркіндік, тазалық және жаңа мүмкіндіктерді білдіреді.",Медицина,Медициналық орталық,kk
Қамыскөл,Атырау облысының оңтүстік-шығыс бөлігінде Жылыой ауданы аймағында орналасқан.,Медицина,Медициналық орталық,kk
Жосалы,Қызылорда облысы Қармақшы ауданындағы кент.,Медицина,Медициналық орталық,kk
Алтын тамыр,Табиғаттың емдік күшін және өмірге қажетті қуат көзін білдіреді.,Медицина,Медициналық орталық,kk
Оқжетпес,Əулиекөл (Бурабай көлі) жағасында орналасқан.,Медицина,Медициналық орталық,kk
Манкент,Шипалы сумен емдейтін климатологиялық санаторий.,Медицина,Медициналық орталық,kk
Шипагер,"Емші, ем-домшы.",Медицина,Медициналық орталық,kk
Шипалы бұлақ,"Шипа – ауру, сырқауды сауықтыруға себеп болатын ем, дауа. Бұлақ – басы қайнардан басталып, сай-жыралармен ағатын кішігірім су.",Медицина,Медициналық орталық,kk
Тасбұлақ,"Табиғаттың таза және емдік күшін білдіреді, денсаулықты қалпына келтіруге бағытталған.",Медицина,Медициналық орталық,kk
Шуақ,"Жарық пен жылу көзі, медициналық орталықтың қуат пен үміт беру қызметін айқындайды.",Медицина,Медициналық орталық,kk
Жасыл өлке,"Табиғат пен тыныштықты бейнелейді, денсаулықты қалпына келтіру мен сауықтыруды көрсетеді.",Медицина,Медициналық орталық,kk
Шатқал,"Табиғи тыныштық пен саулықтың символы, денсаулықты қалпына келтіруге арналған.",Медицина,Медициналық орталық,kk
Қарақат,"Табиғи күш пен емдік қасиетті білдіреді, ауруларды емдеу мен қалпына келтіруге бағытталған.",Медицина,Медициналық орталық,kk
Теректі,"Тыныштық пен табиғаттың қуаты, денсаулықты жақсарту мен сауықтыруды білдіреді.",Медицина,Медициналық орталық,kk
Мөлдір бұлақ,Таза әрі сауықтыратын су мен табиғаттың символы.,Медицина,Медициналық орталық,kk
Саламат,Денсаулық пен саулықты қалпына келтіруге бағытталған медициналық қызмет.,Медицина,Медициналық орталық,kk
Асыл мекен,Жоғары сапалы қызмет пен денсаулықты қалпына келтіру орталығы.,Медицина,Медициналық орталық,kk
Тау самалы,"Таулы аймақтың таза ауасы мен қуатын білдіреді, тыныс алу мен саулықты жақсартуға бағытталған.",Медицина,Медициналық орталық,kk
Шипалы өмір,Денсаулықты сақтау мен қалпына келтіруге арналған сауықтыру қызметін көрсетеді.,Медицина,Медициналық орталық,kk
Шипажай,Денсаулықты жақсарту мен сауықтыру орталығы.,Медицина,Медициналық орталық,kk
Саулық,Жалпы денсаулық пен ұзақ өмір сүруді айқындайды.,Медицина,Медициналық орталық,kk
Өмір бұлағы,Денсаулықты қалпына келтіру мен сауықтыру қызметінің негізі.,Медицина,Медициналық орталық,kk
Тыныштық,Ішкі тыныштық пен сауықтыруды білдіреді.,Медицина,Медициналық орталық,kk
Ақ ырыс,"Бақыт пен денсаулықтың бірігуі, емдеу және сауықтыру қызметі.",Медицина,Медициналық орталық,kk
Қамқор,"Науқастарға қамқорлық пен күтім көрсету, денсаулықты жақсарту.",Медицина,Медициналық орталық,kk
Жан дауа,Рухани және физикалық сауықтыруды білдіреді.,Медицина,Медициналық орталық,kk
Жан ана,Денсаулықты қалпына келтіру мен күтім көрсетудің анауынан беретін қызметі.,Медицина,Медициналық орталық,kk
Шипалы,Денсаулықты қалпына келтіру мен емдеу қызметін көрсетеді.,Медицина,Медициналық орталық,kk
Дауа,Емдеу мен сауықтырудың негізгі белгісі.,Медицина,Медициналық орталық,kk
Нұршипа,Емдік нұр мен қуатты білдіретін шипалы қызмет.,Медицина,Медициналық орталық,kk
Ақ сенім,Денсаулыққа деген сенімділікті білдіреді.,Медицина,Медициналық орталық,kk
Ақ нәр,Таза әрі сауықтыратын қасиеттерді білдіреді.,Медицина,Медициналық орталық,kk
Күншуақ,"Жарық, жылу мен қуат, денсаулықты жақсарту қызметі.",Медицина,Медициналық орталық,kk
Амандық,"Денсаулықты қалпына келтіру, сауықтыру және ұзақ өмір сүруге бағытталған қызметтерді білдіреді.",Медицина,Медициналық орталық,kk
Жалбыз,"Табиғи шипалы өсімдік, денсаулықты қалпына келтіруді білдіреді.",Медицина,Медициналық орталық,kk
Ақжан,"Таза, шипалы және сауықтыратын күш.",Медицина,Медициналық орталық,kk
Ана мен бала,Ананың және баланың денсаулығын сақтауға бағытталған қызмет.,Медицина,Медициналық орталық,kk
Шипа,Денсаулықты қалпына келтіру мен емдеудің негізгі ұғымы.,Медицина,Медициналық орталық,kk
Қасиет,Табиғаттың емдік қасиеттерін көрсету.,Медицина,Медициналық орталық,kk
Алтын ине,"Емдеудің тиімділігін, жоғарғы сапаны білдіреді.",Медицина,Медициналық орталық,kk
Аман-саулық,"Денсаулықты сақтап, сауықтыруға арналған қызмет.",Медицина,Медициналық орталық,kk
Жас ұзақ,Ұзақ әрі салауатты өмір сүруге бағытталған орталық.,Медицина,Медициналық орталық,kk
Ұзақ өмір,"Дені сау болып, ұзақ өмір сүру.",Медицина,Медициналық орталық,kk
Денсаулық,"Аурулар мен дене кемiстiктерiнiң болмауы ғана емес, тұтастай тәни, рухани (психикалық) және әлеуметтiк әл-ауқаттылық жағдайы.",Медицина,Дәріхана,kk
Зәйтүн,Зәйтүн тұқымдасына жататын мәңгі жасыл көпжылдық ағаштектес өсімдік.,Медицина,Дәріхана,kk
Дәрумен,"Тамақпен аз мөлшерде денеге енетін және қалыпты зат алмасуы мен организмнің өмір сүруіне қажетті, шығу тегі органикалық төмен молекулярлы қоспалар.",Медицина,Дәріхана,kk
Дәрі бар,"Дәрі – ауру адамды емдеу және аурудан сақтандыру үшін қолданылатын медициналық препарат. Бар – бар болу, болу.",Медицина,Дәріхана,kk
Ақ қайың,"Қабығы ақ, жапырағы жүрек тәрізді, бұтағы төмен салбырай өсетін ағаш.",Медицина,Дәріхана,kk
Жан тыныштығы,"Жан – адамның және хайуанаттардың тыныс-тіршілігін қамтамасыз етіп тұратын рухани қуаты. Тыныштық – тым-тырыстық, жым-жырт болушылық.",Медицина,Дәріхана,kk
Арша,"Жартасты тау бөктерлерінде өсетін, сабақтары тарбиған, жайыла өсетін жасыл бұта.",Медицина,Дәріхана,kk
Жалбыз,"Тау шатқалдарында, сулы, саздауыт жерлерде өсетін жұпар иісті шөп.",Медицина,Дәріхана,kk
Сау бол!,"Сау – дін аман, он екі мүшесі бүтін. Бол – Есім сөздермен тіркесіп келіп, белгілі бір істің, құбылыстың болуын, іске асуын білдіреді.",Медицина,Дәріхана,kk
Жұпаргүл,Тазалық пен табиғаттың символы. Дәріхана табиғи және сапалы дәрі-дәрмектер ұсынады.,Медицина,Дәріхана,kk
Жан сарайы,Жан мен тәннің үйлесімін сақтауға көмектесетін дәрілік заттар мен медициналық қызметтер ұсынатын дәріхана.,Медицина,Дәріхана,kk
Жолжелкен,Емдік қасиетімен танымал өсімдік. Дәріхана денсаулықты қалпына келтіруге арналған шипалы заттар ұсынады.,Медицина,Дәріхана,kk
Сәлбен,Тыныштандыру мен иммунитетті нығайтуға арналған өсімдік. Дәріхана табиғи емдік қасиеттерді негізге алады.,Медицина,Дәріхана,kk
Қырықбуын,Жерге жайылып буын-буын болып өсетін көп жылдық өсімдік.,Медицина,Дәріхана,kk
Асыл дәрі,"Асыл – құнды, таза, қымбат», «ардақты, қымбатты. Дәрі – ауру адамды емдеу және аурудан сақтандыру үшін қолданылатын медициналық препарат.",Медицина,Дәріхана,kk
Шипа,"Сауығу, жазылу, ем.",Медицина,Дәріхана,kk
Жан дауа,"Адамның денсаулығы мен жан тыныштығын сақтауға бағытталған, сапалы дәрі-дәрмекпен қамтамасыз ететін дәріхана.",Медицина,Дәріхана,kk
Шарапат,"Қайырымдылық, адамгершілік, мәрттік.",Медицина,Дәріхана,kk
Дем,Тыныс мүшелері арқылы сырттан ішке немесе іштен сыртқа шығарылатын ауа.,Медицина,Дәріхана,kk
Сау ел,"Халықтың саулығын жақсартуға, денсаулықты нығайтуға арналған дәрі-дәрмек пен қызметтер ұсынатын дәріхана.",Медицина,Дәріхана,kk
Емдел,"Денсаулықты қалпына келтіру бағытында жүргізілетін, әр түрлі шаралардың жалпы атауы.",Медицина,Дәріхана,kk
Денсаулық үйі,"Денсаулық – адам ағзасының қалыпты жағдайы, есен-саулық, ауру-сырқаудан аман болушылық. Үй – бірнеше мағынадан тұратын сөз. Адам тұратын баспана, ғимарат.",Медицина,Дәріхана,kk
Сүйікті дәріхана,"Сүйікті – жақсы көретін, ұнататын. Дәріхана – дәрі сататын орын.",Медицина,Дәріхана,kk
Мейірімді дәрігер,"Науқастарға қамқорлықпен қарайтын, сапалы медициналық көмек пен дәрілер ұсынатын дәріхана.",Медицина,Дәріхана,kk
Аман жүр,"Аман – есен-сау, түгел, бүтін. Жүр – адам, мал, аң, тағы басқалардың аяғын басу арқылы бір жерден екінші жерге жетуі, бару.",Медицина,Дәріхана,kk
Денсаулық дәуірі,"Денсаулықты сақтау мен нығайтуға арналған, заманауи дәрілік препараттар мен құралдарды ұсынатын дәріхана.",Медицина,Дәріхана,kk
Дәрілер әлемі,Дәрі – ауру адамды емдеу және аурудан сақтандыру үшін қолданылатын медициналық препарат.,Медицина,Дәріхана,kk
Шөп дәрі,"Жер бетіне жап-жасыл болып шығатын көкорай шалғын, балауса; жалпы өсімдік атауы.",Медицина,Дәріхана,kk
Дермене,Дәрілік өсімдік.,Медицина,Дәріхана,kk
Түймедақ,"Түймедағы (дәрілік, эфир-майлы, улы біржылдық шөптесін өсімдік).",Медицина,Дәріхана,kk
Қазтамақ,"Сабағы тік, жапырағы тілім-тілім, салалы болып келген, гүлі күлгін түсті шөптесін өсімдік.",Медицина,Дәріхана,kk
Сексеуіл,"Табиғи емдік қасиеттерді дәрілік заттармен біріктіріп, денсаулықты жақсартуға арналған дәріхана.",Медицина,Дәріхана,kk
Бәйшешек,"Көп жылдық баданалы өсімдік, алғашқы көктем гүлі.",Медицина,Дәріхана,kk
Ақтабан,"Жануар (жылқы, ит) атауы, ветеринарлық дәріхана.",Медицина,Ветеринарлық дәріхана,kk
Табиғат,Жануарлардың саулығын сақтау үшін сапалы емдік құралдар ұсынатын ветеринарлық дәріхана.,Медицина,Ветеринарлық дәріхана,kk
Мейірім ұясы,Жануарларға арналған сапалы емдік құралдар мен мейірімді көмек ұсынатын ветеринарлық дәріхана.,Медицина,Ветеринарлық дәріхана,kk
Жануарлар әлемі,Жануарларға арналған дәрі-дәрмек пен қызметтер ұсынатын ветеринарлық дәріхана.,Медицина,Ветеринарлық дәріхана,kk
Сауықтыру аймағы,Жануарлар үшін сауықтыру және денсаулықты жақсарту қызметтерін ұсынатын ветеринарлық дәріхана.,Медицина,Ветеринарлық дәріхана,kk
Адым,"Ауыспалы мағынада іс-әрекет пен қимылды, алға жүру мен талпыныс ұғымын білдіреді.",Бизнес орталықтары,Бизнес орталықтары,kk
Атакәсіп,"Ежелден ата-баба айналысқан, бүгінде кейінгі ұрпаққа мұра болып қалған жұмыс, үйреншікті іс.",Бизнес орталықтары,Бизнес орталықтары,kk
Бастама,"Қандай болса да бір істің, шаруаның басы, алғашқы ұйытқысы.",Бизнес орталықтары,Бизнес орталықтары,kk
Жанартау,"Өрлеу мен қуаттылықты білдіреді, жаңа мүмкіндіктер мен даму бағытында жұмыс істейтін орталық.",Бизнес орталықтары,Бизнес орталықтары,kk
Бақ құсы,"Өсу мен дамуды білдіреді, шығармашылықты қолдайтын бизнес орталығы.",Бизнес орталықтары,Бизнес орталықтары,kk
Бірегей,"Белгілі бір бағытта, салада таңдаулы, өзіндік қолтаңбасы бар маңдайалды маман. Бір бағытты, бірқалыпты мағынасында да белгілі.",Бизнес орталықтары,Бизнес орталықтары,kk
Дәйектеме,"Белгілі бір мәселеге, іске, сауалға қатысты дәлелдеме, тұжырымдама, тиянақты ой-пікір.",Бизнес орталықтары,Бизнес орталықтары,kk
Даңғыл жол,"Тура және ауыспалы мағынада айқын бағыт, дұрыс бағдар, кедергісіз тегіс жол.",Бизнес орталықтары,Бизнес орталықтары,kk
Дидарласу,"Адамдар арасындағы көзбе-көз, жүзбе-жүз кездесу, әңгімелесу, пікір алмасу сәті.",Бизнес орталықтары,Бизнес орталықтары,kk
Жаңару,"Қоғамда, жеке адам өмірінде жаңа ізденістер мен талпыныстарға, жаңару мен жаңғыруға бастайтын бетбұрыс кезең.",Бизнес орталықтары,Бизнес орталықтары,kk
Жерұйық,"Ежелден қазақ ұғымында жұмақ жер, жанға жайлы мекен, құтты да берекелі қоныс.",Бизнес орталықтары,Бизнес орталықтары,kk
Жан-жақ,"Айнала, төңірек, маңайдағы қоршаған қауым, жағдай, қалып, ахуал ұғымында қолданылады.",Бизнес орталықтары,Бизнес орталықтары,kk
Жібек жолы,"Ықылым заманнан Батыс пен Шығысты байланыстырған керуен жолы, жақсылыққа бастайтын алтын көпір ұғымын береді.",Бизнес орталықтары,Бизнес орталықтары,kk
Зерде,"Ақыл-ес, сана, зейін мағынасын береді. «ілімді оқымаққа, оқығанды көкіректе тоқымаққа зерде керек».",Бизнес орталықтары,Бизнес орталықтары,kk
Кері байланыс,"Пікір алмасу мен тиімді коммуникацияны білдіреді, серіктестермен қарым-қатынасты нығайтуға бағытталған.",Бизнес орталықтары,Бизнес орталықтары,kk
Кәміл сөз,"Рас, ақиқат сөз, боямасыз шын әңгіме мағынасында қолданылады.",Бизнес орталықтары,Бизнес орталықтары,kk
Кен,"Пайдалы қазба, байлық, қазына ұғымын білдіреді. Ауыспалы мағынада адам бойындағы рухани байлық көзі.",Бизнес орталықтары,Бизнес орталықтары,kk
Көзкөрген,"Тәжірибе мен білімді білдіреді, кәсіби қызметтер ұсынатын орталық.",Бизнес орталықтары,Бизнес орталықтары,kk
Күнбатыс,"Дүниенің төрт тарабының бірі, күн бататын жақ.",Бизнес орталықтары,Бизнес орталықтары,kk
Күншығыс,"Дүниенің төрт тарабының бірі, күн шығатын жақ.",Бизнес орталықтары,Бизнес орталықтары,kk
Күре жол,"Негізгі даму бағыты мен тұрақты өсімді білдіреді, бизнес орталығының даму жолы.",Бизнес орталықтары,Бизнес орталықтары,kk
Қазанат,"Жолға, жүріске шыдамды, төзімді қазақ жылқысының бір тұқымы. Ауыспалы мағынада мықты нар азаматтарға қатысты айтылады.",Бизнес орталықтары,Бизнес орталықтары,kk
Қауым,"Ынтымақтастық пен бірлікті білдіреді, ортақ мақсаттарға жетуге бағытталған.",Бизнес орталықтары,Бизнес орталықтары,kk
Қисын,"Бір нәрсенің, мәселенің, істің ыңғайы, реті, жөні. Қисын ойлау жүйесінің жемісі.",Бизнес орталықтары,Бизнес орталықтары,kk
Құрылтай,"Арнайы шақырылатын, келелі халықтық мәселелер қаралатын үлкен жиын, мәжіліс.",Бизнес орталықтары,Бизнес орталықтары,kk
Құтты қадам,"Жақсылыққа, ырыс-береке, табысқа бастайтын қадам, қозғалыс, әрекет.",Бизнес орталықтары,Бизнес орталықтары,kk
Майталман,"Өз саласы мен мамандығының үздігі, өз ісінің асқан шебері.",Бизнес орталықтары,Бизнес орталықтары,kk
Өре,"Ауыспалы мағынасында адамның білім-дәрежесі мен біліктілік, жете, ақыл-ой деңгейі ұғымын білдіреді. «өрең болса, ойлан» деген қариялар сөзі бар.",Бизнес орталықтары,Бизнес орталықтары,kk
Өскелең ұрпақ,Болашаққа бағытталған жаңалықтарды ұсынатын орталық.,Бизнес орталықтары,Бизнес орталықтары,kk
Пікірсарап,"Белгілі бір қоғамдық мәні бар мәселеге қатысты талқылау, ой-пікір білдіру, сараптама жасау.",Бизнес орталықтары,Бизнес орталықтары,kk
Сайын дала,"Ұшы-қиыры жоқ, медиен дала, кең атырап, еркін жер, ата мекен.",Бизнес орталықтары,Бизнес орталықтары,kk
Самғау,"Жетістікке ұмтылуды білдіреді, табысқа жетуге бағытталған орталық.",Бизнес орталықтары,Бизнес орталықтары,kk
Сәтті жол,"Өмірдің белгілі бір саласындағы құтты, табысқа жетелейтін берекелі жол.",Бизнес орталықтары,Бизнес орталықтары,kk
Серке,"Көшбасшылық пен бастамашылдықты білдіреді, ілгерілеуші орталық.",Бизнес орталықтары,Бизнес орталықтары,kk
Сүрлеу,"Атам заманнан ата-баба жүрген, бүгінде көмескілене бастаған соқпақ жол.",Бизнес орталықтары,Бизнес орталықтары,kk
Таған,"Елге, ұлтқа, қоғам мен адамға тірек, сүйеніш болатын тіл, мәдениет, өнер сияқты рухани тіреулер.",Бизнес орталықтары,Бизнес орталықтары,kk
Талқы,"Көкейкесті, өзекті мәселелерді көп болып ортада талқылау. Сол сияқты өмірдің сыны ретінде де қолданылады.",Бизнес орталықтары,Бизнес орталықтары,kk
Талпыныс,"Тырысу, талаптану, алға ұмтылу сияқты адам бойындағы жақсы қасиеттердің атауы.",Бизнес орталықтары,Бизнес орталықтары,kk
Жәдігер,"Өткеннен қалған ескерткіш, мұра, белгі, жақсының көзі, тұяғы ұғымын білдіреді.",Бизнес орталықтары,Бизнес орталықтары,kk
Түбегей,"Көне сөз, негізгі, түпкі және басты мақсат. Сонымен бірге «мүлде» сөзімен де мағыналас.",Бизнес орталықтары,Бизнес орталықтары,kk
Ұйғарым,"Белгілі бір мәселе, жағдай бойынша шешім, тоқтам, байлам.",Бизнес орталықтары,Бизнес орталықтары,kk
Ұлағат,"Ақыл-парасат, үлгі-өнеге, ата тәлімі, ғибрат.",Бизнес орталықтары,Бизнес орталықтары,kk
Ұлан дала,"Қазақтың кең байтақ сайын даласы, шексіз кеңістік.",Бизнес орталықтары,Бизнес орталықтары,kk
Ұлан-асыр,"Ағыл-тегіл, көл-көсір, аста-төк.",Бизнес орталықтары,Бизнес орталықтары,kk
Үн қосу,"Жаңа бастама, жаңа іске үн қосу, қатысу, қолдау көрсету.",Бизнес орталықтары,Бизнес орталықтары,kk
Шандоз,"Елден асқан өрен жүйрік, көз тартарлық келбет, тамаша бітім.",Бизнес орталықтары,Бизнес орталықтары,kk
Шаршы топ,"Әртараптан жиналған топ, алқалы жиын, талқы.",Бизнес орталықтары,Бизнес орталықтары,kk
Ынта-ықылас,"Адам бойындағы ынта-ықылас, пейіл, зейіл, көңіл, жақсы ниет.",Бизнес орталықтары,Бизнес орталықтары,kk
Әлеует,"Күш, пәрмен, қуат, қайрат мағынасында қолданылып жүр.",Бизнес орталықтары,Бизнес орталықтары,kk
Дүйім жұрт,"Жалпы ел, бүкіл қауым, тегіс халық мағынасында қолданылады.",Бизнес орталықтары,Бизнес орталықтары,kk
Әділдік кеңсесі,"Әділдік – ізгіліктің ірге тасы. Кеңсе – белгілі бір мекеме орналасқан үй, ғимарат.",Бизнес орталықтары,Нотариус,kk
Сенім,"Бір нәрсеге иланушылық, сенім.",Бизнес орталықтары,Нотариус,kk
Қолтаңба,"Автордың кітап, қағаз бетіне өз қолымен жазған жазуы, қойған қолы.",Бизнес орталықтары,Нотариус,kk
Уәде алаңы,Нотариустың келісімдер мен уәделердің заңдылығын қамтамасыз ететін қызметін білдіреді.,Бизнес орталықтары,Нотариус,kk
